Job_Title,relatedSkills
.Net Application Developer,Microsoft technologies;Software development;C#;HTML;Quality assurance;ASP.NET;Visual Basic .NET;.NET;Agile
.Net Architect,Software development;C#;Microsoft Windows Azure;ASP.NET;.NET;Microsoft SQL Server
.Net Developer,Software development;C#;ASP.NET;.NET;Microsoft SQL Server;Agile;JavaScript;ASP.NET MVC
.Net Lead,SQL;IBM WebSphere;Java;C#;API;Microsoft SSIS;ASP.NET;.NET
.Net SDET,
.Net Technical Lead,IT management;Software development;C#;Quality assurance;ASP.NET;AngularJS;.NET;Agile
.Net Web Developer,Software development;C#;Cascading style sheets;ASP.NET;AngularJS;.NET;Microsoft SQL Server;Web development;JavaScript
3D Artist,VFX;Modeling;Quality assurance;3D computer graphics;Art;Autodesk Maya;Texturing
AD Administration,Identity management;Group policy;DNS;Microsoft Certified Professional;Active Directory;Microsoft Windows Server
AD Engineer,Auditing;Active Directory;Authentication;Identity management;Microsoft Windows Azure
AD Specialist,Training;Migration;Active Directory;Microsoft Windows
ADF Developer,
AEM Developer,Software development;Cascading style sheets;Adobe Experience Manager;Workflow;Java;Adobe;JavaScript
AEM LEAD,Java;API;Apache Sling;Adobe CQ;Apache Felix;Web content management;Adobe Experience Manager
AI Developer,Artificial intelligence;Recruiting;C;Software development;C++;Debugging;Unreal Engine
AI Engineer,Software development;PyTorch;OpenText;Artificial intelligence;TensorFlow;scikit-learn;Python;Caffe
AI Specialist,
AIX Administrator,IBM AIX;VMware;Veritas;Computer networking;NetBackup;NFS;Linux
AIX Engineer,IBM AIX;Unix;Operating systems;Quality assurance;Computer hardware;Linux
API Developer,Web services;Software development;RESTful;Java;JSON;Microservices;API;Quality assurance
AS400 Developer,AS/400 Control Language;Software development;Quality assurance;JDA;IBM RPG;HTC
ASP.NET Developer,Software development;C#;Quality assurance;ASP.NET;.NET;Microsoft SQL Server;JavaScript;ASP.NET MVC
ATG Architect,Java;Electronic commerce;Cloud computing;J2EE;Web development
ATG Developer,Software development;RESTful;Java;Electronic commerce;JSP;J2EE;Oracle;SQL
AV Estimator,
AV Production Manager,
AV Technician,Videoconferencing;AV;Audiovisual;Computer hardware
AWS Cloud Administrator,
AWS Engineer,Software development;Quality assurance;Python;Amazon Web Services;Identity management;Cloud computing
Abinitio Developer,Data warehouse;Unix;Shell scripting;Ab Initio;Quality assurance;ETL;SQL;Specification
Access Administrator,Policies;Active Directory
Access Control Technician,Access control;IT service management;Computer networking;CCTV;Recruiting;Talent management
Account Director,Sales;Media;Marketing;Automotive;Advertising;Account management;Public sector;Project management
Account Executive,Cisco;Computer networking;Sales;Marketing;Recruiting;Business development;Account management
Account Manager,Cisco;Sales;Marketing;Account management;Customer relationship management
Accounting Analyst,Payments;Accounting;Auditing;Financial reporting;Banking
Actuarial Analyst,Radar;Mathematics;Actuarial Science;Science;Property and casualty insurance;Microsoft Excel;Economics;Statistics
